,Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
2019,Installation Engineer ,Ola-Electric-Mobility,1-12yrs  ,"2,88,886",2.7,3.2,4.0,136
2020,Design Engineer ,Shadowfax-Technologies,1-5yrs  ,"2,60,811",15.0,18.0,4.4,135
2021,Senior Engineer ,Shadowfax-Technologies,4-8yrs  ,"3,85,966",2.5,5.8,4.4,135
2022,Sales Engineer ,Shadowfax-Technologies,1-6yrs  ,"3,56,892",1.6,6.0,4.4,135
2023,Senior Sales Engineer ,Shadowfax-Technologies,4-13yrs  ,"2,05,837",10.0,6.0,4.4,135
2024,Process Agent ,Shadowfax-Technologies,4-7yrs  ,"2,54,661",1.3,4.1,4.4,135
2025,Technical Support Engineer ,Shadowfax-Technologies,1-5yrs  ,"5,58,824",4.5,6.9,4.4,135
2026,Maintenance Executive ,Shadowfax-Technologies,4-10yrs  ,"4,56,052",3.3,5.5,4.4,135
2027,Elevator Technician ,Shadowfax-Technologies,3-10yrs  ,"5,81,345",3.7,8.5,4.4,135
2028,Junior Process Agent ,Shadowfax-Technologies,1-5yrs  ,"6,42,691",3.8,9.3,4.4,135
2029,Installation Engineer ,Shadowfax-Technologies,1-12yrs  ,"7,37,967",3.1,9.5,4.4,135
2030,Design Engineer ,TaskUs,1-5yrs  ,"3,07,129",2.0,4.2,3.6,135
2031,Senior Engineer ,TaskUs,4-8yrs  ,"3,10,487",1.4,4.0,3.6,135
2032,Sales Engineer ,TaskUs,1-6yrs  ,"5,32,811",2.8,9.5,3.6,135
2033,Senior Sales Engineer ,TaskUs,4-13yrs  ,"3,59,032",2.5,4.6,3.6,135
2034,Process Agent ,TaskUs,4-7yrs  ,"3,00,034",2.1,4.1,3.6,135
2035,Technical Support Engineer ,TaskUs,1-5yrs  ,"5,70,729",2.9,8.4,3.6,135
2036,Maintenance Executive ,TaskUs,4-10yrs  ,"3,14,480",2.4,5.0,3.6,135
2037,Elevator Technician ,TaskUs,3-10yrs  ,"3,18,594",2.1,4.5,3.6,135
2038,Junior Process Agent ,TaskUs,1-5yrs  ,"3,36,928",2.5,4.2,3.6,135
2039,Installation Engineer ,TaskUs,1-12yrs  ,"10,04,625",6.0,15.0,3.6,135
2040,Design Engineer ,ECIL,1-5yrs  ,"3,59,241",1.7,6.0,3.9,134
2041,Senior Engineer ,ECIL,4-8yrs  ,"2,77,665",1.0,4.0,3.9,134
2042,Sales Engineer ,ECIL,1-6yrs  ,"2,27,245",1.0,3.2,3.9,134
2043,Senior Sales Engineer ,ECIL,4-13yrs  ,"2,77,081",1.7,3.6,3.9,134
2044,Process Agent ,ECIL,4-7yrs  ,"2,69,758",1.8,3.3,3.9,134
2045,Technical Support Engineer ,ECIL,1-5yrs  ,"2,29,825",15.0,10.0,3.9,134
2046,Maintenance Executive ,ECIL,4-10yrs  ,"2,61,134",1.3,4.0,3.9,134
2047,Elevator Technician ,ECIL,3-10yrs  ,"2,45,174",2.0,3.0,3.9,134
2048,Junior Process Agent ,ECIL,1-5yrs  ,"3,09,845",2.1,4.0,3.9,134
2049,Installation Engineer ,ECIL,1-12yrs  ,"2,09,568",15.0,4.2,3.9,134
2050,Design Engineer ,Newgen-Software-Technologies,1-5yrs  ,"6,44,798",3.0,12.0,3.8,134
2051,Senior Engineer ,Newgen-Software-Technologies,4-8yrs  ,"9,78,612",4.0,14.5,3.8,134
2052,Sales Engineer ,Newgen-Software-Technologies,1-6yrs  ,"6,13,203",3.5,11.5,3.8,134
2053,Senior Sales Engineer ,Newgen-Software-Technologies,4-13yrs  ,"12,89,892",4.8,20.0,3.8,134
2054,Process Agent ,Newgen-Software-Technologies,4-7yrs  ,"12,73,171",8.0,17.0,3.8,134
2055,Technical Support Engineer ,Newgen-Software-Technologies,1-5yrs  ,"9,26,212",6.0,15.0,3.8,134
2056,Maintenance Executive ,Newgen-Software-Technologies,4-10yrs  ,"4,27,664",3.6,5.0,3.8,134
2057,Elevator Technician ,Newgen-Software-Technologies,3-10yrs  ,"9,18,856",4.2,13.0,3.8,134
2058,Junior Process Agent ,Newgen-Software-Technologies,1-5yrs  ,"17,81,692",9.4,21.0,3.8,134
2059,Installation Engineer ,Newgen-Software-Technologies,1-12yrs  ,"19,70,496",11.3,26.5,3.8,134
2060,Design Engineer ,GAIL,1-5yrs  ,"2,71,753",2.3,3.3,4.2,133
2061,Senior Engineer ,GAIL,4-8yrs  ,"3,48,269",1.8,5.0,4.2,133
2062,Sales Engineer ,GAIL,1-6yrs  ,"2,20,869",1.1,3.5,4.2,133
2063,Senior Sales Engineer ,GAIL,4-13yrs  ,"4,50,690",2.4,6.1,4.2,133
2064,Process Agent ,GAIL,4-7yrs  ,"3,43,937",2.1,4.7,4.2,133
2065,Technical Support Engineer ,GAIL,1-5yrs  ,"16,56,695",7.0,24.0,4.2,133
2066,Maintenance Executive ,GAIL,4-10yrs  ,"2,41,174",15.0,3.5,4.2,133
2067,Elevator Technician ,GAIL,3-10yrs  ,"16,96,351",15.0,18.1,4.2,133
2068,Junior Process Agent ,GAIL,1-5yrs  ,"2,54,523",1.0,3.7,4.2,133
2069,Installation Engineer ,GAIL,1-12yrs  ,"2,69,197",2.6,2.8,4.2,133
2070,Design Engineer ,JW-Marriott,1-5yrs  ,"1,74,587",10.0,11.1,4.6,132
2071,Senior Engineer ,JW-Marriott,4-8yrs  ,"2,07,176",20.0,27.4,4.6,132
2072,Sales Engineer ,JW-Marriott,1-6yrs  ,"3,04,294",1.7,5.6,4.6,132
2073,Senior Sales Engineer ,JW-Marriott,4-13yrs  ,"3,30,626",20.0,5.1,4.6,132
2074,Process Agent ,JW-Marriott,4-7yrs  ,"2,15,486",55.0,7.6,4.6,132
2075,Technical Support Engineer ,JW-Marriott,1-5yrs  ,"3,11,400",1.8,4.6,4.6,132
2076,Maintenance Executive ,JW-Marriott,4-10yrs  ,"3,96,233",1.2,6.5,4.6,132
2077,Elevator Technician ,JW-Marriott,3-10yrs  ,"3,50,759",25.0,5.4,4.6,132
2078,Junior Process Agent ,JW-Marriott,1-5yrs  ,"2,33,718",1.0,4.0,4.6,132
2079,Installation Engineer ,JW-Marriott,1-12yrs  ,"3,77,199",1.8,7.0,4.6,132
2080,Design Engineer ,Johnson-Lifts,1-5yrs  ,"3,14,912",2.0,5.5,4.3,132
2081,Senior Engineer ,Johnson-Lifts,4-8yrs  ,"2,42,141",10.0,4.8,4.3,132
2082,Sales Engineer ,Johnson-Lifts,1-6yrs  ,"2,51,395",1.0,5.0,4.3,132
2083,Senior Sales Engineer ,Johnson-Lifts,4-13yrs  ,"2,59,824",10.0,5.0,4.3,132
2084,Process Agent ,Johnson-Lifts,4-7yrs  ,"5,22,683",2.5,8.3,4.3,132
2085,Technical Support Engineer ,Johnson-Lifts,1-5yrs  ,"3,40,053",15.0,6.0,4.3,132
2086,Maintenance Executive ,Johnson-Lifts,4-10yrs  ,"7,20,443",5.1,9.6,4.3,132
2087,Elevator Technician ,Johnson-Lifts,3-10yrs  ,"5,64,083",3.4,7.3,4.3,132
2088,Junior Process Agent ,Johnson-Lifts,1-5yrs  ,"4,40,456",2.3,7.0,4.3,132
2089,Installation Engineer ,Johnson-Lifts,1-12yrs  ,"6,55,785",4.0,8.5,4.3,132
2090,Design Engineer ,Zf-Rane-Automotive,1-5yrs  ,"1,54,958",10.0,2.5,3.4,131
2091,Senior Engineer ,Zf-Rane-Automotive,4-8yrs  ,"1,99,859",1.1,2.6,3.4,131
2092,Sales Engineer ,Zf-Rane-Automotive,1-6yrs  ,"2,43,926",1.0,4.5,3.4,131
2093,Senior Sales Engineer ,Zf-Rane-Automotive,4-13yrs  ,"2,07,209",1.0,4.1,3.4,131
2094,Process Agent ,Zf-Rane-Automotive,4-7yrs  ,"1,90,147",1.1,3.0,3.4,131
2095,Technical Support Engineer ,Zf-Rane-Automotive,1-5yrs  ,"2,64,821",1.5,4.1,3.4,131
2096,Maintenance Executive ,Zf-Rane-Automotive,4-10yrs  ,"2,09,796",1.1,4.0,3.4,131
2097,Elevator Technician ,Zf-Rane-Automotive,3-10yrs  ,"1,76,469",15.0,15.2,3.4,131
2098,Junior Process Agent ,Zf-Rane-Automotive,1-5yrs  ,"4,80,538",3.5,6.4,3.4,131
2099,Installation Engineer ,Zf-Rane-Automotive,1-12yrs  ,"2,18,956",20.0,10.1,3.4,131
2100,Design Engineer ,NEC,1-5yrs  ,"5,32,256",3.0,7.5,4.4,130
2101,Senior Engineer ,NEC,4-8yrs  ,"8,42,036",4.6,13.4,4.4,130
2102,Sales Engineer ,NEC,1-6yrs  ,"16,69,046",7.6,25.5,4.4,130
2103,Senior Sales Engineer ,NEC,4-13yrs  ,"11,72,995",5.3,18.5,4.4,130
2104,Process Agent ,NEC,4-7yrs  ,"22,02,048",11.5,30.0,4.4,130
2105,Technical Support Engineer ,NEC,1-5yrs  ,"4,48,116",2.8,6.0,4.4,130
2106,Maintenance Executive ,NEC,4-10yrs  ,"5,23,293",3.3,8.5,4.4,130
2107,Elevator Technician ,NEC,3-10yrs  ,"8,23,166",4.8,14.1,4.4,130
2108,Junior Process Agent ,NEC,1-5yrs  ,"5,06,100",3.3,8.3,4.4,130
2109,Installation Engineer ,NEC,1-12yrs  ,"22,94,660",9.5,26.5,4.4,130
2110,Design Engineer ,Piaggio,1-5yrs  ,"11,11,862",6.0,18.0,4.0,129
2111,Senior Engineer ,Piaggio,4-8yrs  ,"11,81,149",4.8,18.0,4.0,129
2112,Sales Engineer ,Piaggio,1-6yrs  ,"1,54,660",85.0,2.2,4.0,129
2113,Senior Sales Engineer ,Piaggio,4-13yrs  ,"3,65,500",2.0,6.0,4.0,129
2114,Process Agent ,Piaggio,4-7yrs  ,"1,78,693",10.0,3.9,4.0,129
2115,Technical Support Engineer ,Piaggio,1-5yrs  ,"2,47,725",80.0,4.6,4.0,129
2116,Maintenance Executive ,Piaggio,4-10yrs  ,"4,33,784",2.8,7.0,4.0,129
2117,Elevator Technician ,Piaggio,3-10yrs  ,"2,16,699",1.0,3.6,4.0,129
2118,Junior Process Agent ,Piaggio,1-5yrs  ,"1,99,873",1.2,2.5,4.0,129
2119,Installation Engineer ,Piaggio,1-12yrs  ,"2,48,511",1.7,3.3,4.0,129
2120,Design Engineer ,Nielsen,1-5yrs  ,"7,97,141",5.3,9.5,4.4,129
2121,Senior Engineer ,Nielsen,4-8yrs  ,"10,35,565",7.0,12.0,4.4,129
2122,Sales Engineer ,Nielsen,1-6yrs  ,"4,12,322",1.9,9.5,4.4,129
2123,Senior Sales Engineer ,Nielsen,4-13yrs  ,"4,75,994",1.5,10.0,4.4,129
2124,Process Agent ,Nielsen,4-7yrs  ,"3,60,248",2.3,5.5,4.4,129
2125,Technical Support Engineer ,Nielsen,1-5yrs  ,"7,33,455",4.0,9.0,4.4,129
2126,Maintenance Executive ,Nielsen,4-10yrs  ,"29,91,248",19.0,42.0,4.4,129
2127,Elevator Technician ,Nielsen,3-10yrs  ,"15,80,827",4.5,33.0,4.4,129
2128,Junior Process Agent ,Nielsen,1-5yrs  ,"2,59,638",1.8,3.3,4.4,129
2129,Installation Engineer ,Nielsen,1-12yrs  ,"3,51,304",2.0,5.4,4.4,129
2130,Design Engineer ,SAI-Life-Sciences,1-5yrs  ,"4,03,087",2.4,5.0,3.8,128
2131,Senior Engineer ,SAI-Life-Sciences,4-8yrs  ,"3,62,160",2.4,5.6,3.8,128
2132,Sales Engineer ,SAI-Life-Sciences,1-6yrs  ,"5,84,954",3.0,9.2,3.8,128
2133,Senior Sales Engineer ,SAI-Life-Sciences,4-13yrs  ,"8,78,057",4.5,11.7,3.8,128
2134,Process Agent ,SAI-Life-Sciences,4-7yrs  ,"9,34,734",6.5,13.0,3.8,128
2135,Technical Support Engineer ,SAI-Life-Sciences,1-5yrs  ,"6,02,629",3.6,8.5,3.8,128
2136,Maintenance Executive ,SAI-Life-Sciences,4-10yrs  ,"11,17,226",6.5,13.7,3.8,128
2137,Elevator Technician ,SAI-Life-Sciences,3-10yrs  ,"11,56,089",7.1,14.5,3.8,128
2138,Junior Process Agent ,SAI-Life-Sciences,1-5yrs  ,"12,77,313",7.0,17.9,3.8,128
2139,Installation Engineer ,SAI-Life-Sciences,1-12yrs  ,"3,43,911",2.5,4.8,3.8,128
2140,Design Engineer ,Oil-And-Natural-Gas-Corporation,1-5yrs  ,"24,78,552",12.0,35.0,4.3,128
2141,Senior Engineer ,Oil-And-Natural-Gas-Corporation,4-8yrs  ,"3,37,643",30.0,6.8,4.3,128
2142,Sales Engineer ,Oil-And-Natural-Gas-Corporation,1-6yrs  ,"18,24,873",14.0,21.0,4.3,128
2143,Senior Sales Engineer ,Oil-And-Natural-Gas-Corporation,4-13yrs  ,"1,49,126",10.0,3.5,4.3,128
2144,Process Agent ,Oil-And-Natural-Gas-Corporation,4-7yrs  ,"1,13,759",20.0,6.0,4.3,128
2145,Technical Support Engineer ,Oil-And-Natural-Gas-Corporation,1-5yrs  ,"17,52,847",10.0,22.0,4.3,128
2146,Maintenance Executive ,Oil-And-Natural-Gas-Corporation,4-10yrs  ,"1,78,921",10.0,3.0,4.3,128
2147,Elevator Technician ,Oil-And-Natural-Gas-Corporation,3-10yrs  ,"3,31,262",30.0,10.0,4.3,128
2148,Junior Process Agent ,Oil-And-Natural-Gas-Corporation,1-5yrs  ,"5,38,565",2.2,15.0,4.3,128
2149,Installation Engineer ,Oil-And-Natural-Gas-Corporation,1-12yrs  ,"1,52,288",1.0,3.2,4.3,128
2150,Design Engineer ,NeoSOFT,1-5yrs  ,"7,24,861",1.8,18.0,3.5,127
2151,Senior Engineer ,NeoSOFT,4-8yrs  ,"6,82,476",2.1,17.0,3.5,127
2152,Sales Engineer ,NeoSOFT,1-6yrs  ,"11,13,853",3.6,22.0,3.5,127
2153,Senior Sales Engineer ,NeoSOFT,4-13yrs  ,"4,21,586",2.7,7.1,3.5,127
2154,Process Agent ,NeoSOFT,4-7yrs  ,"4,85,962",2.4,9.5,3.5,127
2155,Technical Support Engineer ,NeoSOFT,1-5yrs  ,"10,02,434",3.6,15.0,3.5,127
2156,Maintenance Executive ,NeoSOFT,4-10yrs  ,"4,77,519",3.0,8.0,3.5,127
2157,Elevator Technician ,NeoSOFT,3-10yrs  ,"5,72,818",1.8,11.0,3.5,127
2158,Junior Process Agent ,NeoSOFT,1-5yrs  ,"15,08,272",4.8,25.2,3.5,127
2159,Installation Engineer ,NeoSOFT,1-12yrs  ,"4,11,514",2.6,6.6,3.5,127
2160,Design Engineer ,Sahara-India-Pariwar,1-5yrs  ,"2,36,105",20.0,15.0,4.2,127
2161,Senior Engineer ,Sahara-India-Pariwar,4-8yrs  ,"2,98,683",2.2,3.6,4.2,127
2162,Sales Engineer ,Sahara-India-Pariwar,1-6yrs  ,"1,90,394",1.0,3.5,4.2,127
2163,Senior Sales Engineer ,Sahara-India-Pariwar,4-13yrs  ,"1,95,296",14.0,4.4,4.2,127
2164,Process Agent ,Sahara-India-Pariwar,4-7yrs  ,"2,99,409",2.7,3.5,4.2,127
2165,Technical Support Engineer ,Sahara-India-Pariwar,1-5yrs  ,"2,74,785",1.6,4.5,4.2,127
2166,Maintenance Executive ,Sahara-India-Pariwar,4-10yrs  ,"3,91,354",2.8,6.0,4.2,127
2167,Elevator Technician ,Sahara-India-Pariwar,3-10yrs  ,"5,76,513",3.4,8.0,4.2,127
2168,Junior Process Agent ,Sahara-India-Pariwar,1-5yrs  ,"2,47,451",1.1,3.6,4.2,127
2169,Installation Engineer ,Sahara-India-Pariwar,1-12yrs  ,"2,01,982",1.0,3.0,4.2,127
2170,Design Engineer ,PharmEasy,1-5yrs  ,"3,05,501",25.0,5.5,4.0,126
2171,Senior Engineer ,PharmEasy,4-8yrs  ,"3,01,203",2.0,4.0,4.0,126
2172,Sales Engineer ,PharmEasy,1-6yrs  ,"2,44,813",1.3,4.5,4.0,126
2173,Senior Sales Engineer ,PharmEasy,4-13yrs  ,"3,95,839",1.8,6.4,4.0,126
2174,Process Agent ,PharmEasy,4-7yrs  ,"26,08,244",18.0,33.6,4.0,126
2175,Technical Support Engineer ,PharmEasy,1-5yrs  ,"6,17,671",3.3,11.0,4.0,126
2176,Maintenance Executive ,PharmEasy,4-10yrs  ,"15,88,175",5.9,24.0,4.0,126
2177,Elevator Technician ,PharmEasy,3-10yrs  ,"13,46,404",5.5,21.0,4.0,126
2178,Junior Process Agent ,PharmEasy,1-5yrs  ,"4,53,902",2.7,5.7,4.0,126
2179,Installation Engineer ,PharmEasy,1-12yrs  ,"3,37,713",2.1,4.5,4.0,126
2180,Design Engineer ,Wheelseye-Technology,1-5yrs  ,"2,64,186",1.0,4.5,3.7,126
2181,Senior Engineer ,Wheelseye-Technology,4-8yrs  ,"4,01,031",1.8,6.6,3.7,126
2182,Sales Engineer ,Wheelseye-Technology,1-6yrs  ,"2,83,854",1.1,4.2,3.7,126
2183,Senior Sales Engineer ,Wheelseye-Technology,4-13yrs  ,"3,81,822",2.6,5.3,3.7,126
2184,Process Agent ,Wheelseye-Technology,4-7yrs  ,"3,89,904",2.4,5.3,3.7,126
2185,Technical Support Engineer ,Wheelseye-Technology,1-5yrs  ,"4,00,952",1.8,13.7,3.7,126
2186,Maintenance Executive ,Wheelseye-Technology,4-10yrs  ,"2,64,826",2.0,4.2,3.7,126
2187,Elevator Technician ,Wheelseye-Technology,3-10yrs  ,"2,69,482",2.0,3.5,3.7,126
2188,Junior Process Agent ,Wheelseye-Technology,1-5yrs  ,"3,06,747",2.2,4.0,3.7,126
2189,Installation Engineer ,Wheelseye-Technology,1-12yrs  ,"3,82,294",2.4,6.5,3.7,126
2190,Design Engineer ,Petrofac,1-5yrs  ,"15,83,269",7.2,33.3,3.4,125
2191,Senior Engineer ,Petrofac,4-8yrs  ,"14,97,567",8.5,21.5,3.4,125
2192,Sales Engineer ,Petrofac,1-6yrs  ,"12,32,680",2.5,35.0,3.4,125
2193,Senior Sales Engineer ,Petrofac,4-13yrs  ,"21,32,638",14.5,30.0,3.4,125
2194,Process Agent ,Petrofac,4-7yrs  ,"8,64,575",3.0,14.0,3.4,125
2195,Technical Support Engineer ,Petrofac,1-5yrs  ,"13,46,011",3.4,30.5,3.4,125
2196,Maintenance Executive ,Petrofac,4-10yrs  ,"9,94,513",4.0,12.0,3.4,125
2197,Elevator Technician ,Petrofac,3-10yrs  ,"11,35,695",6.0,17.0,3.4,125
2198,Junior Process Agent ,Petrofac,1-5yrs  ,"10,86,429",60.0,21.0,3.4,125
2199,Installation Engineer ,Petrofac,1-12yrs  ,"16,39,508",11.0,24.5,3.4,125
2200,Design Engineer ,Bharat-Sanchar-Nigam,1-5yrs  ,"7,80,378",3.0,13.5,4.0,124
2201,Senior Engineer ,Bharat-Sanchar-Nigam,4-8yrs  ,"6,20,371",2.1,8.1,4.0,124
2202,Sales Engineer ,Bharat-Sanchar-Nigam,1-6yrs  ,"7,86,283",5.0,10.0,4.0,124
2203,Senior Sales Engineer ,Bharat-Sanchar-Nigam,4-13yrs  ,"12,68,107",6.0,20.0,4.0,124
2204,Process Agent ,Bharat-Sanchar-Nigam,4-7yrs  ,"1,99,453",20.0,10.1,4.0,124
2205,Technical Support Engineer ,Bharat-Sanchar-Nigam,1-5yrs  ,"6,46,996",2.4,10.8,4.0,124
2206,Maintenance Executive ,Bharat-Sanchar-Nigam,4-10yrs  ,"2,55,413",90.0,6.0,4.0,124
2207,Elevator Technician ,Bharat-Sanchar-Nigam,3-10yrs  ,"3,54,224",95.0,13.2,4.0,124
2208,Junior Process Agent ,Bharat-Sanchar-Nigam,1-5yrs  ,"10,53,519",6.0,14.6,4.0,124
2209,Installation Engineer ,Bharat-Sanchar-Nigam,1-12yrs  ,"12,26,635",8.0,25.0,4.0,124
2210,Design Engineer ,Tenneco,1-5yrs  ,"2,96,921",1.0,6.3,4.4,123
2211,Senior Engineer ,Tenneco,4-8yrs  ,"2,45,679",1.2,5.2,4.4,123
2212,Sales Engineer ,Tenneco,1-6yrs  ,"1,69,350",1.1,2.6,4.4,123
2213,Senior Sales Engineer ,Tenneco,4-13yrs  ,"1,98,445",20.0,3.0,4.4,123
2214,Process Agent ,Tenneco,4-7yrs  ,"1,70,346",1.0,2.8,4.4,123
2215,Technical Support Engineer ,Tenneco,1-5yrs  ,"4,29,132",2.0,6.2,4.4,123
2216,Maintenance Executive ,Tenneco,4-10yrs  ,"3,82,023",1.9,6.2,4.4,123
2217,Elevator Technician ,Tenneco,3-10yrs  ,"2,35,130",1.2,5.0,4.4,123
2218,Junior Process Agent ,Tenneco,1-5yrs  ,"2,64,529",1.0,5.5,4.4,123
2219,Installation Engineer ,Tenneco,1-12yrs  ,"2,49,749",1.8,4.4,4.4,123
2220,Design Engineer ,Vertex-Customer-Solutions,1-5yrs  ,"1,63,697",10.0,3.2,4.1,123
2221,Senior Engineer ,Vertex-Customer-Solutions,4-8yrs  ,"1,53,400",25.0,6.0,4.1,123
2222,Sales Engineer ,Vertex-Customer-Solutions,1-6yrs  ,"2,56,431",95.0,7.2,4.1,123
2223,Senior Sales Engineer ,Vertex-Customer-Solutions,4-13yrs  ,"1,40,287",10.0,2.7,4.1,123
2224,Process Agent ,Vertex-Customer-Solutions,4-7yrs  ,"2,67,821",1.5,3.8,4.1,123
2225,Technical Support Engineer ,Vertex-Customer-Solutions,1-5yrs  ,"2,69,804",1.2,3.6,4.1,123
2226,Maintenance Executive ,Vertex-Customer-Solutions,4-10yrs  ,"2,02,924",80.0,4.0,4.1,123
2227,Elevator Technician ,Vertex-Customer-Solutions,3-10yrs  ,"1,75,842",10.0,3.2,4.1,123
2228,Junior Process Agent ,Vertex-Customer-Solutions,1-5yrs  ,"2,29,280",1.3,3.4,4.1,123
2229,Installation Engineer ,Vertex-Customer-Solutions,1-12yrs  ,"1,55,985",95.0,2.5,4.1,123
2230,Design Engineer ,Tikona-Infinet,1-5yrs  ,"2,59,362",1.3,4.8,3.9,122
2231,Senior Engineer ,Tikona-Infinet,4-8yrs  ,"2,48,417",80.0,6.0,3.9,122
2232,Sales Engineer ,Tikona-Infinet,1-6yrs  ,"1,97,630",1.0,3.9,3.9,122
2233,Senior Sales Engineer ,Tikona-Infinet,4-13yrs  ,"2,44,827",1.1,4.3,3.9,122
2234,Process Agent ,Tikona-Infinet,4-7yrs  ,"2,53,578",1.1,3.5,3.9,122
2235,Technical Support Engineer ,Tikona-Infinet,1-5yrs  ,"4,50,212",2.5,6.6,3.9,122
2236,Maintenance Executive ,Tikona-Infinet,4-10yrs  ,"2,36,016",1.5,3.2,3.9,122
2237,Elevator Technician ,Tikona-Infinet,3-10yrs  ,"4,08,986",2.3,6.0,3.9,122
2238,Junior Process Agent ,Tikona-Infinet,1-5yrs  ,"4,94,193",2.8,6.8,3.9,122
2239,Installation Engineer ,Tikona-Infinet,1-12yrs  ,"2,34,917",1.7,3.1,3.9,122
2240,Design Engineer ,Intertek,1-5yrs  ,"3,66,940",1.8,7.0,3.8,122
2241,Senior Engineer ,Intertek,4-8yrs  ,"3,83,366",2.1,5.7,3.8,122
2242,Sales Engineer ,Intertek,1-6yrs  ,"3,09,866",1.4,4.5,3.8,122
2243,Senior Sales Engineer ,Intertek,4-13yrs  ,"6,42,946",4.0,10.0,3.8,122
2244,Process Agent ,Intertek,4-7yrs  ,"3,34,300",2.0,5.0,3.8,122
2245,Technical Support Engineer ,Intertek,1-5yrs  ,"3,46,318",2.0,5.1,3.8,122
2246,Maintenance Executive ,Intertek,4-10yrs  ,"4,43,827",3.3,6.0,3.8,122
2247,Elevator Technician ,Intertek,3-10yrs  ,"3,48,543",2.5,5.5,3.8,122
2248,Junior Process Agent ,Intertek,1-5yrs  ,"3,38,387",2.3,5.4,3.8,122
2249,Installation Engineer ,Intertek,1-12yrs  ,"3,76,488",2.6,5.0,3.8,122
2250,Design Engineer ,Wind-World,1-5yrs  ,"3,50,238",2.0,5.1,4.0,121
2251,Senior Engineer ,Wind-World,4-8yrs  ,"2,38,592",1.6,4.0,4.0,121
2252,Sales Engineer ,Wind-World,1-6yrs  ,"3,77,166",1.8,5.4,4.0,121
2253,Senior Sales Engineer ,Wind-World,4-13yrs  ,"2,53,331",1.4,4.5,4.0,121
2254,Process Agent ,Wind-World,4-7yrs  ,"5,10,142",3.3,7.0,4.0,121
2255,Technical Support Engineer ,Wind-World,1-5yrs  ,"3,76,352",1.8,5.3,4.0,121
2256,Maintenance Executive ,Wind-World,4-10yrs  ,"2,77,417",1.5,4.0,4.0,121
2257,Elevator Technician ,Wind-World,3-10yrs  ,"10,57,699",7.0,14.4,4.0,121
2258,Junior Process Agent ,Wind-World,1-5yrs  ,"3,08,817",2.4,4.1,4.0,121
2259,Installation Engineer ,Wind-World,1-12yrs  ,"2,53,544",1.8,3.1,4.0,121
2260,Design Engineer ,Indegene,1-5yrs  ,"6,15,451",2.7,10.0,4.2,121
2261,Senior Engineer ,Indegene,4-8yrs  ,"7,90,727",5.4,10.5,4.2,121
2262,Sales Engineer ,Indegene,1-6yrs  ,"8,97,643",2.6,17.2,4.2,121
2263,Senior Sales Engineer ,Indegene,4-13yrs  ,"6,90,000",2.9,10.0,4.2,121
2264,Process Agent ,Indegene,4-7yrs  ,"6,88,103",2.9,10.0,4.2,121
2265,Technical Support Engineer ,Indegene,1-5yrs  ,"10,91,883",7.4,15.0,4.2,121
2266,Maintenance Executive ,Indegene,4-10yrs  ,"9,41,805",5.9,13.5,4.2,121
2267,Elevator Technician ,Indegene,3-10yrs  ,"6,24,845",3.2,10.0,4.2,121
2268,Junior Process Agent ,Indegene,1-5yrs  ,"5,44,506",3.0,7.1,4.2,121
2269,Installation Engineer ,Indegene,1-12yrs  ,"10,92,232",5.0,19.7,4.2,121
2270,Design Engineer ,Gujarat-Fluorochemicals,1-5yrs  ,"3,96,143",2.0,6.0,3.8,120
2271,Senior Engineer ,Gujarat-Fluorochemicals,4-8yrs  ,"3,43,926",1.5,6.6,3.8,120
2272,Sales Engineer ,Gujarat-Fluorochemicals,1-6yrs  ,"6,67,285",4.0,8.0,3.8,120
2273,Senior Sales Engineer ,Gujarat-Fluorochemicals,4-13yrs  ,"4,80,865",3.0,6.0,3.8,120
2274,Process Agent ,Gujarat-Fluorochemicals,4-7yrs  ,"3,33,783",2.1,5.0,3.8,120
2275,Technical Support Engineer ,Gujarat-Fluorochemicals,1-5yrs  ,"3,98,843",2.4,6.0,3.8,120
2276,Maintenance Executive ,Gujarat-Fluorochemicals,4-10yrs  ,"3,76,033",1.7,6.0,3.8,120
2277,Elevator Technician ,Gujarat-Fluorochemicals,3-10yrs  ,"4,26,555",2.4,5.9,3.8,120
2278,Junior Process Agent ,Gujarat-Fluorochemicals,1-5yrs  ,"4,02,515",2.8,5.2,3.8,120
2279,Installation Engineer ,Gujarat-Fluorochemicals,1-12yrs  ,"3,88,238",2.6,4.9,3.8,120
2280,Design Engineer ,ManpowerGroup,1-5yrs  ,"3,80,389",2.1,5.1,4.0,119
2281,Senior Engineer ,ManpowerGroup,4-8yrs  ,"2,87,613",1.2,5.0,4.0,119
2282,Sales Engineer ,ManpowerGroup,1-6yrs  ,"2,96,719",1.0,4.5,4.0,119
2283,Senior Sales Engineer ,ManpowerGroup,4-13yrs  ,"3,81,738",2.0,5.5,4.0,119
2284,Process Agent ,ManpowerGroup,4-7yrs  ,"4,01,856",2.8,5.4,4.0,119
2285,Technical Support Engineer ,ManpowerGroup,1-5yrs  ,"5,31,115",2.7,7.2,4.0,119
2286,Maintenance Executive ,ManpowerGroup,4-10yrs  ,"3,91,377",2.3,5.0,4.0,119
2287,Elevator Technician ,ManpowerGroup,3-10yrs  ,"3,54,435",2.2,5.8,4.0,119
2288,Junior Process Agent ,ManpowerGroup,1-5yrs  ,"3,43,676",1.2,5.5,4.0,119
